"prevBio1","bio1","prevBio12","bio12","prevMoisture","Moisture"
80,-27,438,0,2,0
572,-26,76,0.06724138,10,230.7759
505,-25,43,0.13448276,115,461.5518
464,-24,67,0.20172414,559,692.3277
418,-23,618,0.26896552,7076,923.1036
371,-22,168,0.3362069,14274,1153.8795
483,-21,109,0.40344828,15575,1384.6554
631,-20,731,0.47068966,19086,1615.4313
676,-19,178,0.53793104,22005,1846.2072
866,-18,518,0.60517242,27908,2076.9831
1106,-17,422,0.6724138,36644,2307.759
1823,-16,239,0.73965518,41422,2538.5349
3393,-15,406,0.80689656,49453,2769.3108
3866,-14,592,0.87413794,106631,3000.0867
4016,-13,652,0.94137932,116449,3230.8626
3813,-12,905,1.0086207,45291,3461.6385
3805,-11,884,1.07586208,19751,3692.4144
4027,-10,1301,1.14310346,11706,3923.1903
3823,-9,1414,1.21034484,7456,4153.9662
4335,-8,1473,1.27758622,5227,4384.7421
4780,-7,1655,1.3448276,3761,4615.518
5655,-6,2285,1.41206898,2910,4846.2939
5898,-5,2486,1.47931036,1813,5077.0698
6308,-4,2452,1.54655174,1256,5307.8457
6453,-3,2313,1.61379312,924,5538.6216
7100,-2,2323,1.6810345,782,5769.3975
7737,-1,2580,1.74827588,535,6000.1734
8037,0,3581,1.81551726,413,6230.9493
7838,1,3912,1.88275864,338,6461.7252
8429,2,4333,1.95000002,279,6692.5011
7731,3,5387,2.0172414,229,6923.277
7388,4,7923,2.08448278,157,7154.0529
7311,5,8382,2.15172416,159,7384.8288
7242,6,9150,2.21896554,106,7615.6047
8644,7,10737,2.28620692,92,7846.3806
8657,8,15043,2.3534483,84,8077.1565
8235,9,18974,2.42068968,74,8307.9324
7711,10,20295,2.48793106,48,8538.7083
6955,11,22265,2.55517244,60,8769.4842
6242,12,23349,2.62241382,56,9000.2601
6268,13,27087,2.6896552,33,9231.036
6340,14,31221,2.75689658,35,9461.8119
7592,15,24942,2.82413796,16,9692.5878
8866,16,21031,2.89137934,19,9923.3637
9293,17,21013,2.95862072,21,10154.1396
8995,18,22972,3.0258621,8,10384.9155
9646,19,22310,3.09310348,12,10615.6914
12630,20,22264,3.16034486,9,10846.4673
13511,21,20088,3.22758624,3,11077.2432
15531,22,13459,3.29482762,3,11308.0191
18641,23,12544,3.362069,2,11538.795
20958,24,10283,3.42931038,2,11769.5709
27657,25,6786,3.49655176,2,12000.3468
35805,26,2875,3.56379314,3,12231.1227
32019,27,873,3.63103452,NA,12461.8986
14868,28,330,3.6982759,4,12692.6745
7421,29,144,3.76551728,1,12923.4504
NA,30,NA,3.83275866,NA,13154.2263
